date,team,rank
2025-12-24,TCU,66
2025-12-24,Tarleton St.,169
2025-12-24,Temple,176
2025-12-24,Tennessee,25
2025-12-24,Tennessee St.,201
2025-12-24,Tennessee Tech,223
2025-12-24,Texas,55
2025-12-24,Texas A&M,65
2025-12-24,Texas Southern,342
2025-12-24,Texas St.,265
2025-12-24,Texas Tech,24
2025-12-24,The Citadel,357
2025-12-24,Toledo,165
2025-12-24,Towson,128
2025-12-24,Troy,138
2025-12-24,Tulane,230
2025-12-24,Tulsa,44
2025-12-24,UAB,114
2025-12-24,UAlbany,304
2025-12-24,UC Davis,161
2025-12-24,UC Irvine,142
2025-12-24,UC Riverside,224
2025-12-24,UC San Diego,61
2025-12-24,UC Santa Barbara,157
2025-12-24,UCF,33
2025-12-24,UCLA,40
2025-12-24,UConn,8
2025-12-24,UIC,229
2025-12-24,UIW,197
2025-12-24,ULM,356
2025-12-24,UMBC,281
2025-12-24,UMES,332
2025-12-24,UMass Lowell,321
2025-12-24,UNC Asheville,248
2025-12-24,UNC Greensboro,297
2025-12-24,UNCW,120
2025-12-24,UNI,73
2025-12-24,UNLV,184
2025-12-24,USC Upstate,211
2025-12-24,UT Arlington,137
2025-12-24,UT Martin,164
2025-12-24,UTEP,252
2025-12-24,UTRGV,156
2025-12-24,UTSA,300
2025-12-24,Utah,139
2025-12-24,Utah St.,18
2025-12-24,Utah Tech,222
2025-12-24,Utah Valley,56
2025-12-24,VCU,59
2025-12-24,VMI,340
2025-12-24,Valparaiso,240
2025-12-24,Vanderbilt,6
2025-12-24,Vermont,175
2025-12-24,Villanova,30
2025-12-24,Virginia,23
2025-12-24,Virginia Tech,62
2025-12-24,Wagner,241
2025-12-24,Wake Forest,67
2025-12-24,Washington,54
2025-12-24,Washington St.,168
2025-12-24,Weber St.,193
2025-12-24,West Virginia,95
2025-12-24,Western Caro.,273
2025-12-24,Western Ill.,351
2025-12-24,Western Ky.,123
2025-12-24,Western Mich.,291
2025-12-24,Wichita St.,86
2025-12-24,William & Mary,68
2025-12-24,Winthrop,126
2025-12-24,Wisconsin,69
2025-12-24,Wofford,220
2025-12-24,Wright St.,147
2025-12-24,Wyoming,78
2025-12-24,Xavier,122
2025-12-24,Yale,48
2025-12-24,Youngstown St.,151
